endpoint,ref_score,label,significance
Ischemic stroke,QRISK3,"0.001 (-0.002, 0.004)",n.s.
Ischemic stroke,ASCVD,"0.01 (0.007, 0.013)",*
Ischemic stroke,SCORE2,"0.016 (0.013, 0.019)",*
Ischemic stroke,Age+Sex,"0.033 (0.03, 0.037)",*
Ischemic HD,QRISK3,"0.002 (0.001, 0.004)",*
Ischemic HD,ASCVD,"0.016 (0.015, 0.018)",*
Ischemic HD,SCORE2,"0.024 (0.022, 0.026)",*
Ischemic HD,Age+Sex,"0.046 (0.045, 0.048)",*
Myocardial infarction,QRISK3,"0.006 (0.003, 0.008)",*
Myocardial infarction,ASCVD,"0.017 (0.014, 0.019)",*
Myocardial infarction,SCORE2,"0.025 (0.021, 0.027)",*
Myocardial infarction,Age+Sex,"0.056 (0.053, 0.059)",*
Heart failure,QRISK3,"0.018 (0.015, 0.02)",*
Heart failure,ASCVD,"0.04 (0.038, 0.043)",*
Heart failure,SCORE2,"0.048 (0.046, 0.051)",*
Heart failure,Age+Sex,"0.072 (0.069, 0.074)",*
Cardiac arrest,QRISK3,"0.05 (0.044, 0.057)",*
Cardiac arrest,ASCVD,"0.057 (0.05, 0.064)",*
Cardiac arrest,SCORE2,"0.064 (0.057, 0.071)",*
Cardiac arrest,Age+Sex,"0.088 (0.081, 0.097)",*
All-Cause Death,QRISK3,"0.13 (0.128, 0.132)",*
All-Cause Death,ASCVD,"0.144 (0.143, 0.146)",*
All-Cause Death,SCORE2,"0.146 (0.144, 0.148)",*
All-Cause Death,Age+Sex,"0.171 (0.169, 0.173)",*
