endpoint,phecode_string,phecode_category,Age+Sex,Age+Sex+MedicalHistory,delta_agesex,delta_median_agesex,sign_agesex,ASCVD,ASCVD+MedicalHistory,delta_ascvd,delta_median_ascvd,sign_ascvd,Age+Sex+Comorbidities,Age+Sex+Comorbidities+MedicalHistory,delta_comorb,delta_median_comorb,sign_comorb
OMOP_4306655,All-Cause Death,Death,"0.701 (0.698, 0.703)","0.872 (0.87, 0.874)","0.171 (0.169, 0.174)",0.171,+,"0.728 (0.725, 0.73)","0.874 (0.872, 0.876)","0.146 (0.144, 0.148)",0.146,+,"0.724 (0.721, 0.726)","0.873 (0.871, 0.874)","0.149 (0.147, 0.151)",0.149,+
phecode_001,Salmonella,ID,"0.466 (0.435, 0.501)","0.679 (0.655, 0.71)","0.215 (0.179, 0.261)",0.215,+,"0.556 (0.517, 0.581)","0.675 (0.653, 0.712)","0.121 (0.076, 0.16)",0.121,+,"0.54 (0.513, 0.567)","0.677 (0.654, 0.707)","0.136 (0.101, 0.181)",0.136,+
phecode_002,Staphylococcus,ID,"0.611 (0.606, 0.619)","0.726 (0.72, 0.732)","0.115 (0.105, 0.121)",0.115,+,"0.653 (0.646, 0.66)","0.727 (0.72, 0.732)","0.074 (0.066, 0.079)",0.074,+,"0.66 (0.653, 0.668)","0.725 (0.719, 0.731)","0.066 (0.059, 0.07)",0.066,+
phecode_002-1,Staphylococcus aureus,ID,"0.606 (0.597, 0.616)","0.73 (0.719, 0.737)","0.124 (0.116, 0.131)",0.124,+,"0.653 (0.643, 0.663)","0.729 (0.718, 0.737)","0.077 (0.069, 0.085)",0.077,+,"0.662 (0.654, 0.669)","0.728 (0.717, 0.736)","0.066 (0.059, 0.073)",0.066,+
phecode_003,Escherichia coli,ID,"0.6 (0.594, 0.609)","0.668 (0.663, 0.674)","0.068 (0.062, 0.075)",0.068,+,"0.623 (0.616, 0.629)","0.669 (0.664, 0.675)","0.046 (0.04, 0.052)",0.046,+,"0.63 (0.623, 0.636)","0.667 (0.662, 0.673)","0.037 (0.03, 0.044)",0.037,+
phecode_004,Streptococcus,ID,"0.569 (0.561, 0.58)","0.654 (0.645, 0.664)","0.086 (0.07, 0.096)",0.086,+,"0.6 (0.592, 0.609)","0.654 (0.644, 0.664)","0.054 (0.045, 0.065)",0.054,+,"0.609 (0.598, 0.623)","0.653 (0.644, 0.663)","0.044 (0.035, 0.053)",0.044,+
phecode_004-1,Streptococcus pneumoniae,ID,"0.58 (0.558, 0.598)","0.68 (0.659, 0.701)","0.1 (0.081, 0.123)",0.1,+,"0.62 (0.593, 0.637)","0.683 (0.66, 0.703)","0.063 (0.046, 0.082)",0.063,+,"0.624 (0.602, 0.639)","0.677 (0.656, 0.694)","0.055 (0.033, 0.071)",0.055,+
phecode_004-2,Group A Streptococcus,ID,"0.549 (0.505, 0.575)","0.652 (0.611, 0.679)","0.101 (0.064, 0.138)",0.101,+,"0.579 (0.551, 0.612)","0.653 (0.62, 0.682)","0.073 (0.042, 0.105)",0.073,+,"0.552 (0.498, 0.585)","0.638 (0.597, 0.664)","0.084 (0.05, 0.124)",0.084,+
phecode_004-3,Group B Streptococcus,ID,"0.593 (0.564, 0.628)","0.747 (0.724, 0.781)","0.155 (0.111, 0.192)",0.155,+,"0.658 (0.618, 0.69)","0.737 (0.71, 0.77)","0.08 (0.045, 0.111)",0.08,+,"0.67 (0.637, 0.708)","0.722 (0.684, 0.75)","0.051 (0.015, 0.087)",0.051,+
phecode_005,Mycobacteria,ID,"0.493 (0.473, 0.515)","0.679 (0.657, 0.703)","0.187 (0.154, 0.22)",0.187,+,"0.679 (0.654, 0.701)","0.717 (0.696, 0.743)","0.037 (0.022, 0.061)",0.037,+,"0.522 (0.5, 0.545)","0.674 (0.649, 0.697)","0.15 (0.117, 0.17)",0.15,+
phecode_005-1,Mycobacterium tuberculosis,ID,"0.472 (0.453, 0.495)","0.689 (0.665, 0.71)","0.217 (0.18, 0.248)",0.217,+,"0.68 (0.655, 0.711)","0.731 (0.712, 0.751)","0.05 (0.029, 0.084)",0.05,+,"0.53 (0.502, 0.555)","0.679 (0.65, 0.706)","0.151 (0.118, 0.177)",0.151,+
phecode_005-2,Nontuberculous mycobacteria,ID,"0.605 (0.57, 0.64)","0.743 (0.708, 0.783)","0.138 (0.104, 0.167)",0.138,+,"0.652 (0.6, 0.71)","0.743 (0.698, 0.776)","0.095 (0.048, 0.13)",0.095,+,"0.627 (0.581, 0.667)","0.724 (0.68, 0.76)","0.093 (0.061, 0.145)",0.093,+
phecode_007,Hemophilus infection,ID,"0.63 (0.611, 0.646)","0.787 (0.765, 0.804)","0.156 (0.133, 0.181)",0.156,+,"0.676 (0.664, 0.696)","0.745 (0.73, 0.765)","0.067 (0.041, 0.088)",0.067,+,"0.702 (0.685, 0.721)","0.783 (0.764, 0.8)","0.08 (0.051, 0.101)",0.08,+
phecode_007-1,Hemophilus influenzae,ID,"0.628 (0.608, 0.644)","0.789 (0.773, 0.803)","0.159 (0.14, 0.182)",0.159,+,"0.679 (0.661, 0.701)","0.79 (0.773, 0.804)","0.113 (0.093, 0.127)",0.113,+,"0.703 (0.687, 0.721)","0.786 (0.769, 0.802)","0.082 (0.067, 0.099)",0.082,+
phecode_008,Helicobacter [H. pylori],ID,"0.437 (0.424, 0.447)","0.706 (0.697, 0.714)","0.269 (0.258, 0.28)",0.269,+,"0.565 (0.554, 0.577)","0.713 (0.704, 0.722)","0.149 (0.137, 0.159)",0.149,+,"0.489 (0.476, 0.501)","0.706 (0.697, 0.714)","0.216 (0.206, 0.227)",0.216,+
phecode_009,Pseudomonas,ID,"0.664 (0.651, 0.677)","0.803 (0.788, 0.813)","0.14 (0.126, 0.151)",0.14,+,"0.694 (0.681, 0.707)","0.802 (0.787, 0.812)","0.109 (0.093, 0.119)",0.109,+,"0.723 (0.71, 0.734)","0.801 (0.786, 0.812)","0.078 (0.065, 0.09)",0.078,+
phecode_010,Corynebacterium,ID,"0.667 (0.643, 0.694)","0.742 (0.721, 0.763)","0.074 (0.058, 0.092)",0.074,+,"0.665 (0.644, 0.695)","0.737 (0.716, 0.762)","0.069 (0.051, 0.088)",0.069,+,"0.676 (0.65, 0.702)","0.738 (0.715, 0.757)","0.062 (0.042, 0.084)",0.062,+
phecode_011,Klebsiella,ID,"0.663 (0.646, 0.685)","0.783 (0.77, 0.803)","0.12 (0.101, 0.14)",0.12,+,"0.704 (0.683, 0.722)","0.783 (0.769, 0.803)","0.079 (0.065, 0.096)",0.079,+,"0.717 (0.7, 0.733)","0.781 (0.769, 0.801)","0.065 (0.051, 0.081)",0.065,+
phecode_012,Proteus,ID,"0.652 (0.63, 0.678)","0.808 (0.784, 0.825)","0.158 (0.128, 0.176)",0.158,+,"0.704 (0.674, 0.724)","0.808 (0.784, 0.824)","0.104 (0.084, 0.128)",0.104,+,"0.713 (0.692, 0.732)","0.806 (0.784, 0.822)","0.091 (0.072, 0.109)",0.091,+
phecode_015,Clostridium,ID,"0.625 (0.613, 0.638)","0.703 (0.689, 0.716)","0.077 (0.066, 0.095)",0.077,+,"0.653 (0.638, 0.667)","0.702 (0.689, 0.715)","0.05 (0.038, 0.067)",0.05,+,"0.668 (0.653, 0.684)","0.698 (0.683, 0.71)","0.028 (0.019, 0.047)",0.028,+
phecode_015-2,Clostridium difficile,ID,"0.646 (0.634, 0.658)","0.732 (0.718, 0.749)","0.086 (0.067, 0.096)",0.086,+,"0.677 (0.661, 0.69)","0.732 (0.717, 0.749)","0.057 (0.041, 0.069)",0.057,+,"0.689 (0.674, 0.704)","0.727 (0.712, 0.743)","0.038 (0.028, 0.049)",0.038,+
phecode_019,Treponema,ID,"0.566 (0.513, 0.609)","0.777 (0.746, 0.812)","0.214 (0.176, 0.253)",0.214,+,"0.728 (0.674, 0.767)","0.769 (0.727, 0.802)","0.04 (0.007, 0.074)",0.04,+,"0.681 (0.634, 0.735)","0.753 (0.711, 0.793)","0.072 (0.034, 0.113)",0.072,+
phecode_020,Borrelia,ID,"0.465 (0.445, 0.485)","0.677 (0.657, 0.699)","0.214 (0.179, 0.244)",0.214,+,"0.538 (0.51, 0.562)","0.678 (0.658, 0.701)","0.142 (0.114, 0.167)",0.142,+,"0.447 (0.421, 0.463)","0.669 (0.647, 0.69)","0.222 (0.193, 0.255)",0.222,+
phecode_020-1,Lyme disease,ID,"0.462 (0.442, 0.487)","0.679 (0.659, 0.701)","0.215 (0.184, 0.24)",0.215,+,"0.536 (0.513, 0.557)","0.679 (0.662, 0.7)","0.142 (0.121, 0.173)",0.142,+,"0.449 (0.42, 0.478)","0.67 (0.652, 0.692)","0.221 (0.2, 0.25)",0.221,+
