endpoint,phecode_string,phecode_category,Age+Sex,Age+Sex+MedicalHistory,delta_agesex,sign_agesex,delta_median_agesex,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events,sign_agg,label
OMOP_4306655,All-Cause Death,Death,"0.701 (0.698, 0.703)","0.872 (0.87, 0.874)","0.171 (0.169, 0.174)",+,0.171,"0.693 (0.685, 0.703)","0.809 (0.8, 0.819)","0.116 (0.104, 0.127)",0.116,+,2429,UKB: + | AoU: +,++
phecode_002,Staphylococcus,ID,"0.611 (0.606, 0.619)","0.726 (0.72, 0.732)","0.115 (0.105, 0.121)",+,0.115,"0.571 (0.557, 0.592)","0.769 (0.755, 0.781)","0.197 (0.178, 0.212)",0.197,+,1942,UKB: + | AoU: +,++
phecode_002-1,Staphylococcus aureus,ID,"0.606 (0.597, 0.616)","0.73 (0.719, 0.737)","0.124 (0.116, 0.131)",+,0.124,"0.571 (0.557, 0.592)","0.772 (0.758, 0.784)","0.2 (0.18, 0.214)",0.2,+,1942,UKB: + | AoU: +,++
phecode_003,Escherichia coli,ID,"0.6 (0.594, 0.609)","0.668 (0.663, 0.674)","0.068 (0.062, 0.075)",+,0.068,"0.591 (0.576, 0.608)","0.766 (0.753, 0.787)","0.175 (0.162, 0.195)",0.175,+,1684,UKB: + | AoU: +,++
phecode_004,Streptococcus,ID,"0.569 (0.561, 0.58)","0.654 (0.645, 0.664)","0.086 (0.07, 0.096)",+,0.086,"0.676 (0.669, 0.689)","0.509 (0.498, 0.52)","-0.167 (-0.185, -0.149)",-0.167,-,3669,UKB: + | AoU: -,+-
phecode_004-1,Streptococcus pneumoniae,ID,"0.58 (0.558, 0.598)","0.68 (0.659, 0.701)","0.1 (0.081, 0.123)",+,0.1,"0.623 (0.567, 0.695)","0.788 (0.744, 0.842)","0.158 (0.103, 0.226)",0.158,+,122,UKB: + | AoU: +,++
phecode_005,Mycobacteria,ID,"0.493 (0.473, 0.515)","0.679 (0.657, 0.703)","0.187 (0.154, 0.22)",+,0.187,"0.55 (0.525, 0.575)","0.649 (0.626, 0.674)","0.098 (0.06, 0.129)",0.098,+,693,UKB: + | AoU: +,++
phecode_005-1,Mycobacterium tuberculosis,ID,"0.472 (0.453, 0.495)","0.689 (0.665, 0.71)","0.217 (0.18, 0.248)",+,0.217,"0.517 (0.498, 0.542)","0.634 (0.604, 0.661)","0.112 (0.087, 0.146)",0.112,+,534,UKB: + | AoU: +,++
phecode_005-2,Nontuberculous mycobacteria,ID,"0.605 (0.57, 0.64)","0.743 (0.708, 0.783)","0.138 (0.104, 0.167)",+,0.138,"0.669 (0.621, 0.715)","0.791 (0.753, 0.837)","0.118 (0.083, 0.177)",0.118,+,174,UKB: + | AoU: +,++
phecode_008,Helicobacter [H. pylori],ID,"0.437 (0.424, 0.447)","0.706 (0.697, 0.714)","0.269 (0.258, 0.28)",+,0.269,"0.532 (0.506, 0.555)","0.638 (0.618, 0.652)","0.105 (0.081, 0.142)",0.105,+,761,UKB: + | AoU: +,++
