endpoint,phecode_string,phecode_category,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events
OMOP_4306655,All-Cause Death,Death,"0.693 (0.685, 0.703)","0.809 (0.8, 0.819)","0.116 (0.104, 0.127)",0.116,+,2429
phecode_002,Staphylococcus,ID,"0.571 (0.557, 0.592)","0.769 (0.755, 0.781)","0.197 (0.178, 0.212)",0.197,+,1942
phecode_002-1,Staphylococcus aureus,ID,"0.571 (0.557, 0.592)","0.772 (0.758, 0.784)","0.2 (0.18, 0.214)",0.2,+,1942
phecode_003,Escherichia coli,ID,"0.591 (0.576, 0.608)","0.766 (0.753, 0.787)","0.175 (0.162, 0.195)",0.175,+,1684
phecode_004,Streptococcus,ID,"0.676 (0.669, 0.689)","0.509 (0.498, 0.52)","-0.167 (-0.185, -0.149)",-0.167,-,3669
phecode_004-1,Streptococcus pneumoniae,ID,"0.623 (0.567, 0.695)","0.788 (0.744, 0.842)","0.158 (0.103, 0.226)",0.158,+,122
phecode_005,Mycobacteria,ID,"0.55 (0.525, 0.575)","0.649 (0.626, 0.674)","0.098 (0.06, 0.129)",0.098,+,693
phecode_005-1,Mycobacterium tuberculosis,ID,"0.517 (0.498, 0.542)","0.634 (0.604, 0.661)","0.112 (0.087, 0.146)",0.112,+,534
phecode_005-2,Nontuberculous mycobacteria,ID,"0.669 (0.621, 0.715)","0.791 (0.753, 0.837)","0.118 (0.083, 0.177)",0.118,+,174
phecode_008,Helicobacter [H. pylori],ID,"0.532 (0.506, 0.555)","0.638 (0.618, 0.652)","0.105 (0.081, 0.142)",0.105,+,761
phecode_009,Pseudomonas,ID,"0.629 (0.578, 0.67)","0.829 (0.787, 0.862)","0.202 (0.149, 0.25)",0.202,+,201
phecode_010,Corynebacterium,ID,"0.566 (0.522, 0.646)","0.627 (0.569, 0.671)","0.058 (-0.027, 0.119)",0.058,ns,128
phecode_015,Clostridium,ID,"0.561 (0.538, 0.591)","0.785 (0.767, 0.806)","0.226 (0.193, 0.262)",0.226,+,771
phecode_015-2,Clostridium difficile,ID,"0.569 (0.543, 0.6)","0.781 (0.765, 0.803)","0.216 (0.179, 0.254)",0.216,+,714
phecode_019,Treponema,ID,"0.613 (0.588, 0.634)","0.678 (0.654, 0.704)","0.066 (0.027, 0.102)",0.066,+,574
phecode_020,Borrelia,ID,"0.619 (0.572, 0.643)","0.674 (0.65, 0.697)","0.06 (0.024, 0.091)",0.06,+,453
phecode_020-1,Lyme disease,ID,"0.633 (0.59, 0.658)","0.682 (0.654, 0.707)","0.05 (0.022, 0.082)",0.05,+,415
phecode_025,Enterococcus,ID,"0.608 (0.584, 0.628)","0.828 (0.808, 0.846)","0.218 (0.197, 0.247)",0.218,+,662
phecode_050,Enterovirus,ID,"0.538 (0.503, 0.583)","0.692 (0.638, 0.73)","0.153 (0.105, 0.227)",0.153,+,210
phecode_052,Herpesvirus,ID,"0.576 (0.564, 0.586)","0.579 (0.57, 0.589)","0.004 (-0.015, 0.025)",0.004,ns,3046
phecode_052-1,Herpes simplex,ID,"0.615 (0.598, 0.627)","0.604 (0.593, 0.616)","-0.012 (-0.031, 0.014)",-0.012,ns,2221
phecode_052-3,Varicella zoster virus,ID,"0.611 (0.591, 0.637)","0.685 (0.666, 0.714)","0.074 (0.06, 0.093)",0.074,+,761
phecode_052-31,Varicella [chickenpox],ID,"0.562 (0.517, 0.598)","0.515 (0.445, 0.557)","-0.051 (-0.13, 0.01)",-0.051,ns,182
phecode_052-32,Herpes zoster,ID,"0.654 (0.633, 0.677)","0.735 (0.717, 0.762)","0.081 (0.059, 0.097)",0.081,+,609
phecode_052-4,Infectious mononucleosis,ID,"0.627 (0.556, 0.683)","0.717 (0.666, 0.783)","0.091 (0.004, 0.168)",0.091,+,135
phecode_052-5,Cytomegalovirus [CMV],ID,"0.616 (0.576, 0.657)","0.877 (0.839, 0.907)","0.258 (0.211, 0.322)",0.258,+,210
phecode_054,Hepatovirus,ID,"0.621 (0.604, 0.64)","0.309 (0.291, 0.325)","-0.313 (-0.341, -0.288)",-0.313,-,1509
phecode_054-2,Hepatitis B,ID,"0.58 (0.542, 0.615)","0.294 (0.266, 0.328)","-0.286 (-0.341, -0.239)",-0.286,-,340
phecode_054-3,Hepatitis C,ID,"0.661 (0.64, 0.682)","0.632 (0.614, 0.656)","-0.029 (-0.057, -0.002)",-0.029,-,1099
phecode_054-31,Chronic hepatitis C,ID,"0.66 (0.639, 0.681)","0.732 (0.713, 0.747)","0.073 (0.051, 0.097)",0.073,+,1100
phecode_056,Human papillomavirus,ID,"0.549 (0.536, 0.562)","0.64 (0.628, 0.65)","0.09 (0.07, 0.113)",0.09,+,3184
phecode_056-1,Plantar wart,ID,"0.548 (0.521, 0.585)","0.676 (0.644, 0.701)","0.127 (0.075, 0.179)",0.127,+,586
phecode_057,Retrovirus,ID,"0.666 (0.638, 0.689)","0.646 (0.628, 0.67)","-0.022 (-0.049, 0.019)",-0.022,ns,508
phecode_057-1,Human immunodeficiency virus,ID,"0.668 (0.639, 0.689)","0.644 (0.624, 0.664)","-0.026 (-0.054, 0.016)",-0.026,ns,504
phecode_058,Pneumoviridae,ID,"0.595 (0.571, 0.64)","0.793 (0.767, 0.821)","0.2 (0.155, 0.235)",0.2,+,327
phecode_058-1,Respiratory syncytial virus,ID,"0.581 (0.551, 0.628)","0.788 (0.758, 0.818)","0.207 (0.16, 0.248)",0.207,+,285
phecode_059,Coronavirus,ID,"0.526 (0.514, 0.53)","0.622 (0.613, 0.629)","0.096 (0.089, 0.111)",0.096,+,10035
phecode_059-1,COVID-19*,ID,"0.526 (0.516, 0.532)","0.619 (0.609, 0.626)","0.092 (0.083, 0.107)",0.092,+,9725
phecode_061,Influenza virus,ID,"0.575 (0.563, 0.589)","0.608 (0.597, 0.62)","0.032 (0.016, 0.051)",0.032,+,2689
phecode_070,Candidiasis,ID,"0.635 (0.627, 0.646)","0.668 (0.658, 0.681)","0.033 (0.014, 0.048)",0.033,+,4568
phecode_074,Aspergillosis,ID,"0.596 (0.518, 0.643)","0.853 (0.815, 0.888)","0.261 (0.2, 0.332)",0.261,+,133
phecode_084,Parasites,ID,"0.615 (0.582, 0.639)","0.646 (0.633, 0.667)","0.031 (0.005, 0.059)",0.031,+,1017
phecode_084-4,Trichomoniasis,ID,"0.795 (0.776, 0.816)","0.695 (0.671, 0.722)","-0.101 (-0.132, -0.066)",-0.101,-,476
