phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+MedicalHistory,delta
Death,OMOP_4306655,All-Cause Death,"0.693 (0.685, 0.703)","0.809 (0.8, 0.816)","0.116 (0.106, 0.125)"
ID,phecode_002,Staphylococcus,"0.571 (0.562, 0.586)","0.769 (0.756, 0.779)","0.197 (0.18, 0.21)"
ID,phecode_002-1,Staphylococcus aureus,"0.571 (0.562, 0.586)","0.772 (0.758, 0.781)","0.2 (0.182, 0.213)"
ID,phecode_003,Escherichia coli,"0.591 (0.581, 0.603)","0.766 (0.756, 0.778)","0.175 (0.162, 0.187)"
ID,phecode_004,Streptococcus,"0.676 (0.669, 0.687)","0.509 (0.499, 0.519)","-0.167 (-0.184, -0.152)"
ID,phecode_004-1,Streptococcus pneumoniae,"0.623 (0.577, 0.664)","0.788 (0.751, 0.826)","0.158 (0.112, 0.221)"
ID,phecode_005,Mycobacteria,"0.55 (0.53, 0.568)","0.649 (0.631, 0.666)","0.098 (0.073, 0.127)"
ID,phecode_005-1,Mycobacterium tuberculosis,"0.517 (0.503, 0.538)","0.634 (0.608, 0.656)","0.112 (0.088, 0.142)"
ID,phecode_005-2,Nontuberculous mycobacteria,"0.669 (0.632, 0.698)","0.791 (0.761, 0.823)","0.118 (0.09, 0.164)"
ID,phecode_008,Helicobacter [H. pylori],"0.532 (0.507, 0.549)","0.638 (0.622, 0.651)","0.105 (0.085, 0.129)"
ID,phecode_009,Pseudomonas,"0.629 (0.588, 0.661)","0.829 (0.806, 0.856)","0.202 (0.168, 0.238)"
ID,phecode_010,Corynebacterium,"0.566 (0.526, 0.623)","0.627 (0.573, 0.661)","0.058 (-0.013, 0.116)"
ID,phecode_015,Clostridium,"0.561 (0.542, 0.584)","0.785 (0.775, 0.801)","0.226 (0.203, 0.244)"
ID,phecode_015-2,Clostridium difficile,"0.569 (0.547, 0.593)","0.781 (0.769, 0.798)","0.216 (0.19, 0.233)"
ID,phecode_019,Treponema,"0.613 (0.593, 0.632)","0.678 (0.658, 0.7)","0.066 (0.036, 0.096)"
ID,phecode_020,Borrelia,"0.619 (0.592, 0.635)","0.674 (0.654, 0.694)","0.06 (0.031, 0.09)"
ID,phecode_020-1,Lyme disease,"0.633 (0.606, 0.655)","0.682 (0.661, 0.702)","0.05 (0.025, 0.078)"
ID,phecode_025,Enterococcus,"0.608 (0.586, 0.625)","0.828 (0.811, 0.84)","0.218 (0.202, 0.241)"
ID,phecode_050,Enterovirus,"0.538 (0.505, 0.577)","0.692 (0.662, 0.724)","0.153 (0.108, 0.206)"
ID,phecode_052,Herpesvirus,"0.576 (0.566, 0.585)","0.579 (0.571, 0.588)","0.004 (-0.013, 0.018)"
ID,phecode_052-1,Herpes simplex,"0.615 (0.604, 0.627)","0.604 (0.594, 0.616)","-0.012 (-0.029, 0.009)"
ID,phecode_052-3,Varicella zoster virus,"0.611 (0.594, 0.631)","0.685 (0.669, 0.701)","0.074 (0.062, 0.089)"
ID,phecode_052-31,Varicella [chickenpox],"0.562 (0.524, 0.596)","0.515 (0.455, 0.548)","-0.051 (-0.118, -0.001)"
ID,phecode_052-32,Herpes zoster,"0.654 (0.635, 0.672)","0.735 (0.72, 0.748)","0.081 (0.068, 0.094)"
ID,phecode_052-4,Infectious mononucleosis,"0.627 (0.58, 0.682)","0.717 (0.674, 0.764)","0.091 (0.009, 0.146)"
ID,phecode_052-5,Cytomegalovirus [CMV],"0.616 (0.579, 0.646)","0.877 (0.847, 0.903)","0.258 (0.222, 0.306)"
ID,phecode_054,Hepatovirus,"0.621 (0.605, 0.635)","0.309 (0.297, 0.32)","-0.313 (-0.334, -0.29)"
ID,phecode_054-2,Hepatitis B,"0.58 (0.55, 0.609)","0.294 (0.269, 0.319)","-0.286 (-0.323, -0.246)"
ID,phecode_054-3,Hepatitis C,"0.661 (0.645, 0.673)","0.632 (0.618, 0.649)","-0.029 (-0.046, -0.006)"
ID,phecode_054-31,Chronic hepatitis C,"0.66 (0.645, 0.673)","0.732 (0.718, 0.744)","0.073 (0.056, 0.093)"
ID,phecode_056,Human papillomavirus,"0.549 (0.537, 0.561)","0.64 (0.629, 0.649)","0.09 (0.072, 0.108)"
ID,phecode_056-1,Plantar wart,"0.548 (0.526, 0.573)","0.676 (0.656, 0.699)","0.127 (0.085, 0.162)"
