endpoint,endpoint_string,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,ratio_10,ratio,phecode_category
phecode_135-12,Benign neoplasm of the tongue,16,11,10,11,10,15,14,10,12,18,3.184713375796178e-4,2.1895776105736693e-4,1.9905647232119753e-4,2.1897519608233466e-4,1.9907628603280778e-4,2.9863226422982737e-4,2.787400947716322e-4,1.9911196065547658e-4,2.389343527865719e-4,3.5841580215447723e-4,1.1254256187650586,Neoplasms
phecode_612-2,Hypertrophy of breast (Gynecomastia),23,19,19,26,24,34,30,19,25,34,8.434486046426345e-4,6.968641114982578e-4,6.968896713615023e-4,9.536734768734182e-4,8.803785627819963e-4,0.0012472944715506806,0.001100594320933304,6.971197945331132e-4,9.173302021795765e-4,0.0012476606363069245,1.4792372996284142,Genitourinary
phecode_069,Other specified viral infections,13,15,17,17,18,21,18,20,32,21,2.5883008800222995e-4,2.9865604778496767e-4,3.38483593501115e-4,3.3850381314589516e-4,3.5842293906810036e-4,4.1816009557945044e-4,3.584443515144274e-4,3.982715016826971e-4,6.372978570859556e-4,4.1825170786114043e-4,1.6159315599256645,ID
phecode_688-2,Foreign body granuloma,14,12,21,13,17,22,16,17,23,23,2.786957041047896e-4,2.3888203208981965e-4,4.180602006688963e-4,2.5880432402301367e-4,3.3844989946047105e-4,4.3803759158967824e-4,3.185918241373131e-4,3.3851729425117983e-4,4.5799398633983155e-4,4.5801222693510167e-4,1.6434133005612783,Derm
phecode_144-3,Benign neoplasms of the ovary,120,117,140,135,160,160,148,174,198,213,0.004409333088370384,0.0042995737174775835,0.005145356315924878,0.0049617759482505144,0.005881271825032163,0.005882136686151245,0.005441376521195632,0.0063975292300904475,0.007281017871589321,0.007832898172323759,1.7764360313315928,Neoplasms
phecode_500-4,Disturbances in tooth eruption,80,78,88,96,111,103,121,129,146,152,0.0016003200640128026,0.0015603432755206146,0.0017604577190069419,0.0019206145966709346,0.0022209327917725443,0.0020609067989915564,0.0024211137123076616,0.002581342297994957,0.002921636116225086,0.003041825095057034,1.900760456273764,GI
phecode_518,Appendicitis,216,245,251,272,282,303,307,385,368,422,0.004333781424931281,0.0049157303370786515,0.005036317669248364,0.005458120961592487,0.005659241420830825,0.006081284495735073,0.006161689145793192,0.007727199743095697,0.007386295210950985,0.008470323759057426,1.9544879929406538,GI
phecode_500,Disorders of tooth develoment,83,82,95,118,102,98,131,127,163,167,0.0016605313700384123,0.0016406234369060243,0.0019007983353008264,0.0023610860996058185,0.0020410205102551274,0.0019610589718447964,0.0026215204818794903,0.002541575776981729,0.0032624141864980084,0.003342540330651295,2.0129341673165584,GI
phecode_337-21,Guillain-Barre syndrome [Acute infective polyneuritis],22,17,19,22,27,24,23,34,29,45,4.3801142811635175e-4,3.3846337627172634e-4,3.783051927365403e-4,4.380812043250563e-4,5.376558206220877e-4,4.7792580201923653e-4,4.5801222693510167e-4,6.771020034253395e-4,5.775626854673279e-4,8.962893620411496e-4,2.046269353965492,Neuro
phecode_153,Benign neoplasm of other or unspecified sites,35,39,39,54,56,65,53,86,81,72,6.97711506259469e-4,7.774654625919503e-4,7.774809616841433e-4,0.001076555023923445,0.001116449689985845,0.0012959307773590925,0.0010567452247078996,0.0017148896289058606,0.001615218951902369,0.0014358074422685758,2.057881272398881,Neoplasms
