endpoint,phecode_string,freq,phecode_category,delta,.lower,.upper,.width,.point,.interval,pos,highlight,endpoint_id
phecode_209-22,Hypopituitarism NOS,0.0010654950867731233,Endo,-0.31585511251839665,-0.35066256572830035,-0.277006527312311,0.9999734466277217,median,qi,neg,NO,1
phecode_209-2,Hypopituitarism,0.0012808688394292465,Endo,-0.2909464211468841,-0.3223382983255629,-0.2579273762408862,0.9999734466277217,median,qi,neg,NO,2
phecode_124-7,Chronic myeloproliferative disease,8.639893613844534e-4,Neoplasms,-0.2839768615801428,-0.33272839126341097,-0.23347031573850804,0.9999734466277217,median,qi,neg,NO,1
phecode_978,Tissue transplant or graft,6.987285529152508e-4,Stat,-0.2509089983532108,-0.29977661139607764,-0.19308275976247743,0.9999734466277217,median,qi,neg,NO,1
phecode_174-1,Hyposplenism*,0.0013180109582059123,Blood,-0.24036336470561792,-0.2776758459615696,-0.20359887238333926,0.9999734466277217,median,qi,neg,NO,1
phecode_441-1,Arteriovenous fistula,3.1049904760388285e-4,Cardio,-0.21366200217462833,-0.30944352327042146,-0.1415879947091792,0.9999734466277217,median,qi,neg,NO,1
phecode_110-4,Malignant neoplasm of the pituitary gland and craniopharyngeal duct,2.7868516339908314e-4,Neoplasms,-0.19978795372691743,-0.3041582528750031,-0.12156247322692337,0.9999734466277217,median,qi,neg,NO,2
phecode_979,Transplated organ,0.0029260922516359607,Stat,-0.1644453503555965,-0.20127154929133628,-0.1411319188688608,0.9999734466277217,median,qi,neg,NO,2
phecode_054-2,Hepatitis B,6.31763557008191e-4,ID,-0.1460927196189723,-0.19521847317934046,-0.09950819081950234,0.9999734466277217,median,qi,neg,NO,1
phecode_054,Hepatovirus,0.0018287034252096393,ID,-0.12487020960013834,-0.15280324216856292,-0.09896552367999681,0.9999734466277217,median,qi,neg,NO,2
phecode_120-13,Erythroid,8.145106364335188e-4,Neoplasms,-0.12366367143502516,-0.1741956536149922,-0.08713038722086303,0.9999734466277217,median,qi,neg,NO,3
phecode_540-3,Viral hepatitits,0.00184078235255193,GI,-0.11913499612463951,-0.16025595755739397,-0.08971505249120722,0.9999734466277217,median,qi,neg,NO,1
phecode_168-21,Primary hypercoagulable state [Primary thrombophilia],0.0012826794456594049,Blood,-0.08365032242060116,-0.11359002031895375,-0.0573442630196316,0.9999734466277217,median,qi,neg,NO,2
phecode_540-2,Acute hepatitis,8.900551834213721e-4,GI,-0.06295036765994066,-0.10609344117186942,-0.014058707934765748,0.9999734466277217,median,qi,neg,NO,2
phecode_124-3,Polycythemia vera,7.826222025736919e-4,Neoplasms,-0.053660709025636355,-0.09422074136214428,-0.01663428776942382,0.9999734466277217,median,qi,neg,NO,4
phecode_249-1,Cerebral amyloid angiopathy*,4.1993810390980287e-4,Metab,-0.05049883441372344,-0.07535409635318999,-0.027404186819821787,0.9999734466277217,median,qi,neg,NO,1
phecode_149-4,Benign neoplasm of the pituitary gland and craniopharyngeal duct,0.0010756650697688315,Neoplasms,-0.0498526196913428,-0.08801453904354327,-0.0020931610261262293,0.9999734466277217,median,qi,neg,NO,5
phecode_700-12,Cutaneous lupus erythematosus,7.549379715872421e-4,Musc/Skel,-0.03237147646406968,-0.07400399617558968,0.013579394536716895,0.9999734466277217,median,qi,neg,NO,1
phecode_540-1,Chronic hepatitis,0.0020036320820611066,GI,-0.03164689436590323,-0.06445418697326637,-0.006906726389023507,0.9999734466277217,median,qi,neg,NO,3
